Kind,Name,SumCyclomatic,AvgEssential,MaxInheritanceTree,PercentLackOfCohesion,CountClassDerived,CountClassCoupled,CountDeclMethod,Essential,CountLineCode
Package,org.junit,0,0,,,,,0,,0
Package,org.junit.api,0,0,,,,,0,,0
Package,org.junit.api.tools,56,1,,,,,47,,300
Abstract Class,org.junit.api.tools.AbstractApiReportWriter,15,1,1,57,3,1,14,,62
Constructor,org.junit.api.tools.AbstractApiReportWriter.AbstractApiReportWriter,1,,,,,,,1,3
Protected Abstract Method,org.junit.api.tools.AbstractApiReportWriter.code,0,,,,,,,0,1
Protected Method,org.junit.api.tools.AbstractApiReportWriter.getKind,4,,,,,,,4,12
Protected Abstract Method,org.junit.api.tools.AbstractApiReportWriter.h1,0,,,,,,,0,1
Protected Abstract Method,org.junit.api.tools.AbstractApiReportWriter.h2,0,,,,,,,0,1
Protected Abstract Method,org.junit.api.tools.AbstractApiReportWriter.italic,0,,,,,,,0,1
Protected Method,org.junit.api.tools.AbstractApiReportWriter.paragraph,1,,,,,,,1,3
Public Method,org.junit.api.tools.AbstractApiReportWriter.printDeclarationInfo,3,,,,,,,1,5
Lambda Method,org.junit.api.tools.AbstractApiReportWriter.printDeclarationInfo.(lambda_expr_1),1,,,,,,,1,1
Lambda Method,org.junit.api.tools.AbstractApiReportWriter.printDeclarationInfo.(lambda_expr_2),1,,,,,,,1,1
Protected Method,org.junit.api.tools.AbstractApiReportWriter.printDeclarationSection,3,,,,,,,1,10
Lambda Method,org.junit.api.tools.AbstractApiReportWriter.printDeclarationSection.(lambda_expr_1),1,,,,,,,1,1
Protected Method,org.junit.api.tools.AbstractApiReportWriter.printDeclarationSectionHeader,2,,,,,,,1,10
Protected Abstract Method,org.junit.api.tools.AbstractApiReportWriter.printDeclarationTableFooter,0,,,,,,,0,1
Protected Abstract Method,org.junit.api.tools.AbstractApiReportWriter.printDeclarationTableHeader,0,,,,,,,0,1
Protected Abstract Method,org.junit.api.tools.AbstractApiReportWriter.printDeclarationTableRow,0,,,,,,,0,1
Public Method,org.junit.api.tools.AbstractApiReportWriter.printReportHeader,1,,,,,,,1,7
Class,org.junit.api.tools.ApiReport,3,1,1,33,0,0,3,,14
Constructor,org.junit.api.tools.ApiReport.ApiReport,1,,,,,,,1,4
Method,org.junit.api.tools.ApiReport.getDeclarationsMap,1,,,,,,,1,3
Method,org.junit.api.tools.ApiReport.getTypes,1,,,,,,,1,3
Class,org.junit.api.tools.ApiReportGenerator,9,1,1,0,0,5,2,,51
Method,org.junit.api.tools.ApiReportGenerator.generateReport,7,,,,,,,1,38
Lambda Method,org.junit.api.tools.ApiReportGenerator.generateReport.(lambda_expr_1),2,,,,,,,1,7
Lambda Method,org.junit.api.tools.ApiReportGenerator.generateReport.(lambda_expr_1).(lambda_expr_2),1,,,,,,,1,1
Lambda Method,org.junit.api.tools.ApiReportGenerator.generateReport.(lambda_expr_3),1,,,,,,,1,1
